S.no,District,Block,Village Name,Financial Year,Scheme Name,Ownership,Number of Household,Capacity,Mode
1,Sahibganj,Pathna,UrsaPahad,FY 2021-22,Jharkand Rural electrification programme,Government,125,30,Mini grid
2,Sahibganj,Barhet,Dulmi,FY 2021-22,Jharkand Rural electrification programme,Government,240,73,Mini grid
3,Sahibganj,Barhet,Mahua Thand,FY 2021-22,Jharkand Rural electrification programme,Government,133,35,Mini grid
4,Sahibganj,Barhet,Hiranpur,FY 2021-22,Jharkand Rural electrification programme,Government,145,35,Mini grid
5,Sahibganj,Pathna,Chapel Pahar,FY 2021-22,Jharkand Rural electrification programme,Government,92,23,Mini grid
6,Sahibganj,Barhet,Karanghatti,FY 2021-22,Jharkand Rural electrification programme,Government,96,23,Mini grid
7,Sahibganj,Barhet,Barmasiya,FY 2021-22,Jharkand Rural electrification programme,Government,240,60,Mini grid
8,Sahibganj,Barhet,Basko Pahad,FY 2021-22,Jharkand Rural electrification programme,Government,160,40,Mini grid
9,Sahibganj,Barhet,Teghra Pahad,FY 2021-22,Jharkand Rural electrification programme,Government,160,40,Mini grid
10,Hazaribag,Ichak,Gardine,FY 2021-22,Jharkand Rural electrification programme,Government,140,35,Mini grid
11,Chatra,Simaria,Bargaon,FY 2021-22,Jharkand Rural electrification programme,Government,360,55,Mini grid
12,Simdega,Bano,"Tarop tola, Khapra tola,Kadam tola, Bar Tola",FY 2021-22,Jharkand Rural electrification programme,Government,180,74,Mini grid
13,Chatra,Simaria,Kaslatu,FY 2021-22,Jharkand Rural electrification programme,Government,250,60,Mini grid
14,Chatra,Pratappur,Bami,FY 2017-18,DDUGJY(off-grid),Government,60,15,Mini grid
15,Chatra,Pratappur,Kundi,FY 2017-18,DDUGJY(off-grid),Government,60,15,Mini grid
16,Chatra,Kunda,Soharlot,FY 2017-18,DDUGJY(off-grid),Government,52,13,Mini grid
17,Chatra,Lawalaung,Sehada,FY 2017-18,DDUGJY(off-grid),Government,41,11,Mini grid
18,Chatra,Lawalaung,Bishunpur,FY 2017-18,DDUGJY(off-grid),Government,60,15,Mini grid
19,Chatra,Lawalaung,Kotari,FY 2017-18,DDUGJY(off-grid),Government,55,14,Mini grid
20,Chatra,Lawalaung,Narainpur,FY 2017-18,DDUGJY(off-grid),Government,35,9,Mini grid
21,Chatra,Lawalaung,Teona,FY 2017-18,DDUGJY(off-grid),Government,50,13,Mini grid
22,Chatra,Lawalaung,Barwadih,FY 2017-18,DDUGJY(off-grid),Government,50,13,Mini grid
23,Chatra,Lawalaung,Lorga,FY 2017-18,DDUGJY(off-grid),Government,18,5,Mini grid
24,Chatra,Lawalaung,Hurdag,FY 2017-18,DDUGJY(off-grid),Government,16,4,Mini grid
25,Chatra,Lawalaung,Kadhe,FY 2017-18,DDUGJY(off-grid),Government,50,13,Mini grid
26,Chatra,Lawalaung,Lutu,FY 2017-18,DDUGJY(off-grid),Government,50,13,Mini grid
27,Chatra,Lawalaung,Sohawan,FY 2017-18,DDUGJY(off-grid),Government,55,14,Mini grid
28,Chatra,Lawalaung,Dunho,FY 2017-18,DDUGJY(off-grid),Government,45,12,Mini grid
29,Chatra,Lawalaung,Harhad,FY 2017-18,DDUGJY(off-grid),Government,70,18,Mini grid
30,Chatra,Lawalaung,Rimi,FY 2017-18,DDUGJY(off-grid),Government,41,11,Mini grid
31,Chatra,Pratappur,Angarah,FY 2017-18,DDUGJY(off-grid),Government,120,30,Mini grid
32,Chatra,Kunda,Khusihala,FY 2017-18,DDUGJY(off-grid),Government,58,15,Mini grid
33,Chatra,Hunterganj,Bisrampur,FY 2017-18,DDUGJY(off-grid),Government,77,20,Mini grid
34,Chatra,Lawalaung,Jobhi,FY 2017-18,DDUGJY(off-grid),Government,55,14,Mini grid
35,Chatra,Lawalaung,Nawadih,FY 2017-18,DDUGJY(off-grid),Government,86,22,Mini grid
