Dist_Name,Dist_Code,Solar_rooftop_capacity,solar_rooftop_Count
Bokaro                 ,355,1981,106
Chatra                 ,347,1511,109
Deoghar                 ,350,894,48
Dhanbad                 ,354,1554,69
Dumka                   ,362,1710,82
Garhwa                  ,346,1138,80
Giridih                ,349,1743,104
Godda                   ,351,1025,60
Gumla                   ,366,1135,67
Hazaribag               ,360,1952,82
Jamtara                 ,363,881,62
Khunti                 ,365,691,33
Kodarma                 ,348,726,39
Latehar                 ,359,763,50
Lohardaga              ,356,545,36
Pakur                   ,353,711,39
Palamu                 ,358,1732,112
Pashchimi Singhbhum     ,368,1658,81
purba Singhbhum         ,357,1563,91
Ramgarh                 ,361,922,50
Ranchi                 ,364,6354,216
Sahibganj               ,352,1270,64
Saraikela Kharsawan     ,369,924,60
Simdega                 ,367,1091,59
