S.no ,District,Financial Year &  Scheme  ,Nos. of SWPs Installed_FY_16-17,Financial Year &  Scheme  ,Nos. of SWPs Installed_18-19,Financial Year &  Scheme  ,Nos. of SWPs Installed21-22,Districtwise_Solar_pumps_Installed_(Till now)
1,Bokaro,Phase-I / 2016-17,5,Phase-II / 2018-19,0,PM Kusum-B/2021-22,200,205
2,Chatra,Phase-I / 2016-17,41,Phase-II / 2018-19,0,PM Kusum-B/2021-22,300,341
3,Deoghar,Phase-I / 2016-17,0,Phase-II / 2018-19,0,PM Kusum-B/2021-22,133,133
4,Dhanbad,Phase-I / 2016-17,0,Phase-II / 2018-19,0,PM Kusum-B/2021-22,270,270
5,Dumka,Phase-I / 2016-17,1,Phase-II / 2018-19,0,PM Kusum-B/2021-22,229,230
6,Purba Singhbhum,Phase-I / 2016-17,2,Phase-II / 2018-19,0,PM Kusum-B/2021-22,384,386
7,Garhwa,Phase-I / 2016-17,80,Phase-II / 2018-19,0,PM Kusum-B/2021-22,0,80
8,Giridih,Phase-I / 2016-17,5,Phase-II / 2018-19,0,PM Kusum-B/2021-22,616,621
9,Godda,Phase-I / 2016-17,4,Phase-II / 2018-19,0,PM Kusum-B/2021-22,413,417
10,Gumla,Phase-I / 2016-17,5,Phase-II / 2018-19,80,PM Kusum-B/2021-22,159,244
11,Hazaribag,Phase-I / 2016-17,168,Phase-II / 2018-19,0,PM Kusum-B/2021-22,671,839
12,Jamtara,Phase-I / 2016-17,0,Phase-II / 2018-19,0,PM Kusum-B/2021-22,0,0
13,Khunti,Phase-I / 2016-17,1,Phase-II / 2018-19,285,PM Kusum-B/2021-22,513,799
14,Koderma,Phase-I / 2016-17,0,Phase-II / 2018-19,0,PM Kusum-B/2021-22,350,350
15,Latehar,Phase-I / 2016-17,0,Phase-II / 2018-19,0,PM Kusum-B/2021-22,161,161
16,Lohardaga,Phase-I / 2016-17,6,Phase-II / 2018-19,0,PM Kusum-B/2021-22,146,152
17,Pakur,Phase-I / 2016-17,0,Phase-II / 2018-19,0,PM Kusum-B/2021-22,0,0
18,Palamu,Phase-I / 2016-17,78,Phase-II / 2018-19,0,PM Kusum-B/2021-22,300,378
19,Ramgarh,Phase-I / 2016-17,15,Phase-II / 2018-19,0,PM Kusum-B/2021-22,200,215
20,Ranchi,Phase-I / 2016-17,44,Phase-II / 2018-19,0,PM Kusum-B/2021-22,351,395
21,Sahibganj,Phase-I / 2016-17,0,Phase-II / 2018-19,18,PM Kusum-B/2021-22,153,171
22,Saraikela Kharsawan,Phase-I / 2016-17,3,Phase-II / 2018-19,0,PM Kusum-B/2021-22,279,282
23,Simdega,Phase-I / 2016-17,1,Phase-II / 2018-19,620,PM Kusum-B/2021-22,436,1057
24,Pashchimi Singhbhum,Phase-I / 2016-17,10,Phase-II / 2018-19,177,PM Kusum-B/2021-22,453,640
