Serial no. ,District,District_T,Location,Financial Year ,Phase,Ownership ,Implementing Agency ,Implementation Year ,Block,Capacity(In KWp)
1,Bokaro,Bokaro,"Community Health Centre, Bermo, Bokaro", FY 15-16,Phase 1 (NIB 07),Government ,M/s Communication & system engineering pvt ltd,2015-2016 ,Bermo,20
2,Bokaro,Bokaro,"Dhori Mata Church, Bermo, Bokaro", FY 15-16,Phase 1 (NIB 07),Government ,M/s Communication & system engineering pvt ltd,2015-2016 ,Bermo,5
3,Bokaro,Bokaro,"Referral Hospital, Jainamore, Bokaro", FY 15-16,Phase 1 (NIB 07),Government ,M/s Communication & system engineering pvt ltd,2015-2016,Bokaro,10
4,Bokaro,Bokaro,"Sub-Divisional Hospital, Bermo, Bokaro", FY 15-16,Phase 1 (NIB 07),Government ,M/s Communication & system engineering pvt ltd,50/2015-2016 dated 15/01/2016,Bermo,20
5,Bokaro,Bokaro,"Sadar Hospital,Bokaro", FY 15-16,Phase 1 (NIB 07),Government ,M/s Abhishek Solar Pvt Ltd,14/2016-17 dated 09/07/2016,Bokaro,125
6,Chatra,Chatra,"Residencial High School, Lawalong, Simariya", FY 15-16,Phase 1 (NIB 07),Government ,M/s Kamla Instruments,05/2016-17  dated -12/04/2016,Simariya,10
7,Chatra,Chatra,"Residencial Primary School, Pratapur", FY 15-16,Phase 1 (NIB 07),Government ,M/s Kamla Instruments,05/2016-17  dated -12/04/2016,Pratapur,10
8,Chatra,Chatra,"Mandal Jail,Chatra", FY 15-16,Phase 1 (NIB 07),Government ,M/s Kotak Urja Pvt Ltd,25/2015-16 dated 11/12/2015,Chatra,15
9,Deoghar,Deoghar,Sadar Hospital, FY 15-16,Phase 1 (NIB 07),Government ,M/s Abhishek Solar Pvt Ltd,14/2016-17 dated 09/07/2016,Deoghar,60
10,Dhanbad,Dhanbad,Collectorate building, FY 15-16,Phase 1 (NIB 07),Government ,"M/s Sunshine Power Products, Kolkata",45/2015/2016 dated 15/01/2016,Dhanbad,80
11,Dhanbad,Dhanbad,PMCH, FY 15-16,Phase 1 (NIB 07),Government ,M/s G.K.Energy marketers Pvt Ltd,51/2015/16 dated 15/01/2016,Dhanbad,200
12,Dumka,Dumka,"Eklabya Model Residential  School, Kathijoria", FY 15-16,Phase 1 (NIB 07),Government ,M/s Punam Energy Pvt Ltd,06/2016-2017 dated 12/04/2016,Shikaripara,10
13,Dumka,Dumka,"Central Jail, Dumka", FY 15-16,Phase 1 (NIB 07),Government ,M/s Punam Energy Pvt Ltd,28/2015/16 dated 11/12/2015,Dumka,25
14,Dumka,Dumka,Dumka Commissionery, FY 15-16,Phase 1 (NIB 07),Government ,M/s Son-so-lite,03/2016/17dated 12/04/2016,Dumka,25
15,Dumka,Dumka,"Primary Health Centre, Jama", FY 15-16,Phase 1 (NIB 07),Government ,M/s Punam Energy Pvt Ltd,06/2016/17dated 12/04/2016,Jama,5
16,Dumka,Dumka,"Residential Boys High School, Gopikander, Dumka", FY 15-16,Phase 1 (NIB 07),Government ,M/s Punam Energy Pvt Ltd,06/2016-2017 dated 12/04/2016,Gopikander,10
17,Dumka,Dumka,"Residential Girls High School, Lakhikund Kadaharbil", FY 15-16,Phase 1 (NIB 07),Government ,M/s Punam Energy Pvt Ltd,06/2016-2017 dated 12/04/2016,Dumka ,10
18,Dumka,Dumka,"Sadar Hospital, Dumka", FY 15-16,Phase 1 (NIB 07),Government ,M/s RMS Energy Pvt Ltd,39/2015/16  dated 29/12/2015,Dumka,60
19,Dumka,Dumka,"Residential 10+2 School,Indarbani", FY 15-16,Phase 1 (NIB 07),Government ,M/s Communication & system engineering pvt ltd,04/2016-2017 dated 12/04/2016,Shikaripara,10
20,Pashchimi Singhbhum,Pashchimi Singhbhum,"MGM Medical College, Jamshedpur", FY 15-16,Phase 1 (NIB 07),Government , M/s Sungrace Energy Solutions Pvt Ltd,63/2015-16 dated 12/03/2016,Jamshedpur ,250
21,Pashchimi Singhbhum,Pashchimi Singhbhum,"Residencial Boys High School, Sabar Nagar", FY 15-16,Phase 1 (NIB 07),Government ,M/s Surya Inernational,02/2016-2017 dated 12/04/2016,Potka ,10
